velocity (km/s),HINSAV_data (K),HINSAV_fit (K),CNM1_data (K),CNM1_fit (K),           CNM2_data (K),CNM2_fit (K),CNM3_data (K),CNM3_fit (K),WNM_data (K),WNM_fit (K)
-11.698500,0.000329,-0.000000,0.000329,0.000000,0.000322,-0.000007,0.000329,0.000000,-0.000864,-0.001193
-11.597860,-0.005114,-0.000000,-0.005114,0.000000,-0.005122,-0.000009,-0.005114,0.000000,-0.006340,-0.001226
-11.497220,-0.013759,-0.000000,-0.013759,0.000000,-0.013770,-0.000011,-0.013759,0.000000,-0.015019,-0.001260
-11.396580,-0.013629,-0.000000,-0.013629,0.000000,-0.013642,-0.000013,-0.013629,0.000000,-0.014923,-0.001294
-11.295940,-0.009352,0.000000,-0.009352,0.000000,-0.009367,-0.000015,-0.009352,0.000000,-0.010681,-0.001329
-11.195300,-0.010266,-0.000000,-0.010266,0.000000,-0.010284,-0.000018,-0.010266,0.000000,-0.011630,-0.001364
-11.094660,-0.013905,0.000000,-0.013905,0.000000,-0.013926,-0.000022,-0.013905,0.000000,-0.015305,-0.001400
-10.994010,-0.009736,0.000000,-0.009736,0.000000,-0.009762,-0.000026,-0.009736,0.000000,-0.011173,-0.001436
-10.893370,-0.003807,0.000000,-0.003807,0.000000,-0.003837,-0.000030,-0.003807,0.000000,-0.005280,-0.001473
-10.792730,-0.012008,0.000000,-0.012008,0.000000,-0.012044,-0.000036,-0.012008,0.000000,-0.013519,-0.001511
-10.692090,-0.023342,-0.000000,-0.023342,0.000000,-0.023385,-0.000043,-0.023342,0.000000,-0.024891,-0.001548
-10.591450,-0.020544,0.000000,-0.020544,0.000000,-0.020595,-0.000051,-0.020544,0.000000,-0.022130,-0.001586
-10.490810,-0.005997,-0.000000,-0.005997,0.000000,-0.006057,-0.000060,-0.005997,0.000000,-0.007622,-0.001625
-10.390170,0.001618,0.000000,0.001618,0.000000,0.001548,-0.000070,0.001618,0.000000,-0.000046,-0.001664
